player_id,player_name,position,main_position,current_club_name,date_of_death,days_missed,games_missed,injury_reason,season_name
47,Trent Alexander-Arnold,Defender - Right-Back,Defender,Real Madrid,,316.0,43.0,muscular problems | Ankle injury | Hamstring injury | Torn lateral knee ligament | Ankle problems | Corona virus | Calf injury | Ill | Back problems,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19
48,Alessandro Bastoni,Defender - Centre-Back,Defender,Inter Milan,,170.0,31.0,Muscle fatigue | unknown injury | Calf injury | Fever | Hamstring injury | Ankle problems | Stomach flu | Corona virus | Knock | Meniscus injury,23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19
49,Gianluigi Donnarumma,Goalkeeper,Goalkeeper,Manchester City,,141.0,17.0,Facial injury | Corona virus | Fitness | Ankle sprain | Contracture | stomach problems | Hamstring muscle injury | strain | Adductor pain | Head injury,24/25 | 21/22 | 20/21 | 19/20 | 18/19 | 17/18 | 15/16
50,Enrico Brignola,Attack - Right Winger,Attack,Ternana Calcio,,358.0,38.0,Calf strain | Muscle injury | muscular problems | unknown injury | Broken hand,24/25 | 22/23 | 19/20 | 18/19
51,Fausto Grillo,Defender - Centre-Back,Defender,Club Atlético Tucumán,,472.0,24.0,Ankle injury | Bone edema,20/21 | 18/19 | 17/18
52,Rafael Borré,Attack - Centre-Forward,Attack,Sport Club Internacional,,143.0,28.0,Thigh problems | Abdominal problems | Hamstring injury | Corona virus | Knock | Hip problems | Foot bruise,25/26 | 24/25 | 20/21 | 19/20 | 18/19
53,Evander,Midfield - Attacking Midfield,Midfield,FC Cincinnati,,142.0,23.0,Knee injury | Leg injury | Calf injury | Hip injury | Muscle fiber tear | Corona virus | Hamstring strain,24/25 | 23/24 | 22/23 | 20/21
54,Matheus Pereira,Midfield - Central Midfield,Midfield,Fortaleza Esporte Clube,,53.0,7.0,Hamstring injury | Corona virus | unknown injury,25/26 | 21/22 | 18/19
55,Francisco Arancibia,Attack - Right Winger,Attack,Deportivo Garcilaso,,104.0,15.0,ankle sprain | Lower leg fracture,25/26 | 17/18
56,Matthijs de Ligt,Defender - Centre-Back,Defender,Manchester United,,298.0,65.0,Knee injury | Foot injury | Ill | Inner ligament injury | Inner knee ligament tear | Knock | Calf injury | Virus | Inner ligament stretch of the knee | Adductor pain | Groin problems | Muscle fatigue | Corona virus | Shoulder injury,24/25 | 23/24 | 22/23 | 21/22 | 20/21
57,Diogo Jota,Attack - Left Winger,Attack,---,03.07.2025 (28),561.0,125.0,muscular problems | Muscle injury | Hip injury | Knee collateral ligament tear | Calf injury | Hamstring injury | Ankle injury | Foot injury | Knee bruise | bruise,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19
58,Federico Chiesa,Attack - Right Winger,Attack,Liverpool FC,,505.0,93.0,Muscle injury | unknown injury | Knee problems | muscular problems | Tendon irritation | Muscle fatigue | Fitness | Cruciate ligament tear | Hamstring muscle injury,24/25 | 23/24 | 22/23 | 21/22
59,Kylian Mbappé,Attack - Centre-Forward,Attack,Real Madrid,,136.0,28.0,Stomach flu | Hamstring injury | Muscle injury | Adductor pain | infection | Calf injury | Thigh problems | Corona virus | Ankle injury | Rest,24/25 | 22/23 | 21/22 | 20/21 | 19/20
60,Rodrigo Bentancur,Midfield - Defensive Midfield,Midfield,Tottenham Hotspur,,460.0,73.0,concussion | Head injury | Torn ankle ligaments | Cruciate ligament tear | Adductor pain | Back problems | Ankle injury | Corona virus | Knee problems | Muscle fatigue | Knee injury,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20 | 18/19 | 15/16
61,Rodri,Midfield - Defensive Midfield,Midfield,Manchester City,,320.0,63.0,Knee problems | Cruciate ligament tear | Hamstring injury | Knock | Muscle injury,25/26 | 24/25 | 20/21 | 19/20
62,Declan Rice,Midfield - Central Midfield,Midfield,Arsenal FC,,30.0,11.0,Broken toe | Ill,24/25 | 18/19
63,Loïs Openda,Attack - Centre-Forward,Attack,Juventus FC,,6.0,1.0,Knock,24/25
64,Federico Valverde,Midfield - Central Midfield,Midfield,Real Madrid,,241.0,47.0,Lumbago | muscular problems | Dead leg | flu | Corona virus | sprain | Quarantine | Muscle injury | Shin injury | Knee injury | Ill,24/25 | 22/23 | 21/22 | 20/21 | 19/20 | 17/18
65,Vinicius Junior,Attack - Left Winger,Attack,Real Madrid,,191.0,36.0,ankle sprain | Muscle injury | Cervical spine injury | Torn thigh muscle | Hamstring muscle injury | Knee problems | Corona virus | Intestinal virus | Torn lateral knee ligament,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 18/19
66,Sandro Tonali,Midfield - Central Midfield,Midfield,Newcastle United,,84.0,17.0,Rest | Muscle fatigue | unknown injury | Fever | Knee injury | Contracture | Bursitis | Shin bruise | Adductor injury | muscular problems,22/23 | 21/22 | 20/21 | 19/20
67,Achraf Hakimi,Defender - Right-Back,Defender,Paris Saint-Germain,,122.0,15.0,Hamstring injury | Corona virus | Ankle problems | Quarantine | Metatarsal fracture,22/23 | 21/22 | 20/21 | 18/19
68,Erling Haaland,Attack - Centre-Forward,Attack,Manchester City,,277.0,56.0,Ankle injury | Knee problems | Muscle injury | Stress reaction of the bone | Groin problems | Foot bruise | Ill | muscular problems | Hip flexor problems | minor knock | Torn muscle fiber,24/25 | 23/24 | 22/23 | 21/22 | 20/21
69,Nahuel Molina,Defender - Right-Back,Defender,Atlético de Madrid,,155.0,20.0,Muscle injury | unknown injury | Hip injury | Fitness,24/25 | 23/24 | 21/22 | 20/21 | 18/19
70,Alphonso Davies,Defender - Left-Back,Defender,Bayern Munich,,537.0,89.0,Cruciate ligament tear | Torn muscle fiber | Internal ligament strain | Torn muscle bundle | Head injury | muscular problems | heart problems | Corona virus | Thigh problems | Knee problems | Ankle injury | Torn ankle ligaments | Inner ligament stretch of the knee,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 18/19
71,Xavier Amaechi,Attack - Right Winger,Attack,Plymouth Argyle,,280.0,49.0,bruise | Knee problems | Torn lateral ankle ligament | Ankle injury | Hamstring strain | Metatarsal fracture | Corona virus | Quarantine | Hamstring injury | Stomach flu,24/25 | 23/24 | 22/23 | 21/22 | 20/21 | 19/20
72,Marvin Senger,Defender - Centre-Back,Defender,Stal Mielec,,177.0,25.0,Ankle injury | muscular problems | Torn muscle fiber | Adductor pain | laceration wound | Back problems,24/25 | 22/23 | 21/22 | 20/21
73,Randal Kolo Muani,Attack - Centre-Forward,Attack,Tottenham Hotspur,,9.0,2.0,Virus | Adductor pain,23/24 | 22/23
74,Mo Sangare,Midfield - Central Midfield,Midfield,Morecambe FC,,15.0,3.0,unknown injury,24/25
75,Bremer,Defender - Centre-Back,Defender,Juventus FC,,389.0,61.0,Cruciate ligament tear | Muscle injury | Muscle fatigue | Thigh problems | unknown injury | Hamstring muscle injury | Ankle problems | Ankle injury | Corona virus,24/25 | 22/23 | 21/22 | 20/21
76,Joshua Tenkorang,Midfield - Central Midfield,Midfield,Ravenna FC,,277.0,28.0,unknown injury | Fever | Rest | Knee injury,23/24 | 22/23 | 20/21
77,Alexis Mac Allister,Midfield - Central Midfield,Midfield,Liverpool FC,,142.0,14.0,Muscle injury | Knee injury | Back injury | Virus,24/25 | 23/24 | 20/21
78,Francesco Amatucci,Midfield - Central Midfield,Midfield,AS Cittadella,,47.0,6.0,Muscle injury | flu | Rest | unknown injury | Corona virus,22/23 | 21/22
79,Edoardo Sottini,Defender - Centre-Back,Defender,UC AlbinoLeffe,,276.0,28.0,Achilles tendon surgery | unknown injury,24/25 | 23/24 | 21/22
80,Jude Bellingham,Midfield - Attacking Midfield,Midfield,Real Madrid,,146.0,18.0,Shoulder injury | Muscle injury | ankle sprain | Knee injury | Knee problems | Knock,25/26 | 24/25 | 23/24 | 22/23 | 21/22 | 20/21
81,Andreas Jungdal,Goalkeeper,Goalkeeper,KVC Westerlo,,73.0,11.0,minor knock | unknown injury | muscular problems | Hamstring injury,24/25 | 23/24 | 22/23
82,Lennard Hartjes,Midfield - Central Midfield,Midfield,Excelsior Rotterdam,,656.0,83.0,Cruciate ligament tear | Knock | Muscle injury,24/25 | 23/24 | 21/22 | 19/20
83,Florian Wirtz,Midfield - Attacking Midfield,Midfield,Liverpool FC,,386.0,69.0,Inner ligament injury | Capsular injury | bruise | muscular problems | Stomach flu | Rest | Cruciate ligament tear | Hip flexor problems | Adductor pain | Corona virus | Knee problems,24/25 | 23/24 | 22/23 | 21/22 | 20/21
84,Aleksander Paluszek,Defender - Centre-Back,Defender,GKS Katowice,,254.0,30.0,Collateral ligament tear | Corona virus | unknown injury,25/26 | 21/22
85,Julian Baas,Midfield - Central Midfield,Midfield,Sparta Rotterdam,,22.0,3.0,unknown injury | Knock,22/23 | 20/21
86,Cisse Sandra,Midfield - Attacking Midfield,Midfield,Club Brugge KV,,152.0,22.0,Muscle injury,23/24 | 20/21
87,Aurèle Amenda,Defender - Centre-Back,Defender,Eintracht Frankfurt,,149.0,15.0,Calf injury | Syndesmosis ligament tear | Hamstring injury,24/25 | 23/24
88,Volodymyr Brazhko,Midfield - Defensive Midfield,Midfield,Dynamo Kyiv,,136.0,7.0,unknown injury | Fitness | Ankle injury | Virus,24/25 | 23/24 | 21/22
89,Alan Marinelli,Attack - Left Winger,Attack,1.FC Slovacko,,108.0,13.0,Foot surgery,22/23
90,Enzo Barrenechea,Midfield - Defensive Midfield,Midfield,SL Benfica,,325.0,44.0,Ankle problems | influenza | unknown injury | Partial damage to the cruciate ligament | Muscle injury,24/25 | 21/22 | 20/21 | 19/20
91,Mika Baur,Attack - Left Winger,Attack,SC Paderborn 07,,75.0,11.0,bruise | Bruised knee | unknown injury,23/24 | 22/23
92,Brahima Diarra,Attack - Right Winger,Attack,Al-Wahda FC,,80.0,11.0,Ankle injury,21/22
93,Franco Carboni,Defender - Left-Back,Defender,FC Empoli,,6.0,1.0,unknown injury,23/24
94,Franco Ortellado,Defender - Centre-Back,Defender,CA Lanús,,794.0,74.0,Cruciate ligament tear,23/24
95,Tommaso Corazza,Defender - Left-Back,Defender,Delfino Pescara 1936,,22.0,3.0,Finger injury,23/24
96,Tomás Castro Ponce,Midfield - Right Midfield,Midfield,Club Almagro,,43.0,4.0,Collateral ligament injury | Corona virus,23/24 | 20/21
97,Kenan Yıldız,Attack - Left Winger,Attack,Juventus FC,,105.0,12.0,Muscle fatigue | Stomach flu | Ligament stretching | muscular problems,24/25 | 23/24 | 21/22
98,Benja Cremaschi,Midfield - Central Midfield,Midfield,Parma Calcio 1913,,67.0,9.0,Pubalgia,23/24
